index,forgetting_events,index_info
547,6.0,"(5, 47)"
548,7.0,"(5, 48)"
549,9.223372036854776e+18,"(5, 49)"
550,8.0,"(5, 50)"
551,8.0,"(5, 51)"
552,14.0,"(5, 52)"
553,15.0,"(5, 53)"
554,0.0,"(5, 54)"
555,3.0,"(5, 55)"
556,8.0,"(5, 56)"
557,7.0,"(5, 57)"
558,2.0,"(5, 58)"
559,5.0,"(5, 59)"
560,2.0,"(5, 60)"
561,8.0,"(5, 61)"
562,10.0,"(5, 62)"
563,1.0,"(5, 63)"
564,6.0,"(5, 64)"
565,5.0,"(5, 65)"
566,0.0,"(5, 66)"
567,4.0,"(5, 67)"
568,4.0,"(5, 68)"
569,11.0,"(5, 69)"
570,5.0,"(5, 70)"
571,7.0,"(5, 71)"
572,9.0,"(5, 72)"
573,6.0,"(5, 73)"
574,0.0,"(5, 74)"
575,6.0,"(5, 75)"
576,2.0,"(5, 76)"
577,7.0,"(5, 77)"
578,1.0,"(5, 78)"
579,12.0,"(5, 79)"
580,2.0,"(5, 80)"
581,3.0,"(5, 81)"
582,10.0,"(5, 82)"
583,8.0,"(5, 83)"
584,2.0,"(5, 84)"
585,12.0,"(5, 85)"
586,1.0,"(5, 86)"
587,1.0,"(5, 87)"
588,1.0,"(5, 88)"
589,5.0,"(5, 89)"
590,10.0,"(5, 90)"
591,5.0,"(5, 91)"
592,3.0,"(5, 92)"
593,10.0,"(5, 93)"
594,14.0,"(5, 94)"
595,4.0,"(5, 95)"
596,5.0,"(5, 96)"
597,9.0,"(5, 97)"
598,3.0,"(5, 98)"
599,7.0,"(5, 99)"
600,4.0,"(6, 0)"
601,2.0,"(6, 1)"
602,9.223372036854776e+18,"(6, 2)"
603,8.0,"(6, 3)"
604,9.0,"(6, 4)"
605,14.0,"(6, 5)"
606,0.0,"(6, 6)"
607,8.0,"(6, 7)"
608,4.0,"(6, 8)"
609,1.0,"(6, 9)"
610,6.0,"(6, 10)"
611,9.223372036854776e+18,"(6, 11)"
612,12.0,"(6, 12)"
613,1.0,"(6, 13)"
614,7.0,"(6, 14)"
615,2.0,"(6, 15)"
616,9.223372036854776e+18,"(6, 16)"
617,6.0,"(6, 17)"
618,5.0,"(6, 18)"
619,1.0,"(6, 19)"
620,1.0,"(6, 20)"
621,9.0,"(6, 21)"
622,6.0,"(6, 22)"
623,1.0,"(6, 23)"
624,7.0,"(6, 24)"
625,6.0,"(6, 25)"
626,1.0,"(6, 26)"
627,13.0,"(6, 27)"
628,5.0,"(6, 28)"
629,8.0,"(6, 29)"
630,4.0,"(6, 30)"
631,3.0,"(6, 31)"
632,3.0,"(6, 32)"
633,2.0,"(6, 33)"
634,12.0,"(6, 34)"
635,1.0,"(6, 35)"
636,6.0,"(6, 36)"
637,8.0,"(6, 37)"
638,8.0,"(6, 38)"
639,3.0,"(6, 39)"
640,4.0,"(6, 40)"
641,1.0,"(6, 41)"
642,2.0,"(6, 42)"
643,7.0,"(6, 43)"
644,3.0,"(6, 44)"
645,7.0,"(6, 45)"
646,2.0,"(6, 46)"
647,1.0,"(6, 47)"
648,9.223372036854776e+18,"(6, 48)"
649,1.0,"(6, 49)"
650,2.0,"(6, 50)"
651,1.0,"(6, 51)"
652,10.0,"(6, 52)"
653,1.0,"(6, 53)"
654,9.0,"(6, 54)"
655,7.0,"(6, 55)"
656,14.0,"(6, 56)"
657,13.0,"(6, 57)"
658,6.0,"(6, 58)"
659,9.0,"(6, 59)"
660,9.223372036854776e+18,"(6, 60)"
661,10.0,"(6, 61)"
662,2.0,"(6, 62)"
663,2.0,"(6, 63)"
664,11.0,"(6, 64)"
665,12.0,"(6, 65)"
666,9.0,"(6, 66)"
667,8.0,"(6, 67)"
668,5.0,"(6, 68)"
669,2.0,"(6, 69)"
670,4.0,"(6, 70)"
671,8.0,"(6, 71)"
672,6.0,"(6, 72)"
673,2.0,"(6, 73)"
674,12.0,"(6, 74)"
675,7.0,"(6, 75)"
676,8.0,"(6, 76)"
677,4.0,"(6, 77)"
678,9.223372036854776e+18,"(6, 78)"
679,14.0,"(6, 79)"
680,12.0,"(6, 80)"
681,10.0,"(6, 81)"
682,10.0,"(6, 82)"
683,9.0,"(6, 83)"
684,1.0,"(6, 84)"
685,6.0,"(6, 85)"
686,9.223372036854776e+18,"(6, 86)"
687,0.0,"(6, 87)"
688,8.0,"(6, 88)"
689,7.0,"(6, 89)"
690,6.0,"(6, 90)"
691,8.0,"(6, 91)"
692,11.0,"(6, 92)"
693,9.223372036854776e+18,"(6, 93)"
694,10.0,"(6, 94)"
695,3.0,"(6, 95)"
696,6.0,"(6, 96)"
697,6.0,"(6, 97)"
698,8.0,"(6, 98)"
699,2.0,"(6, 99)"
700,1.0,"(7, 0)"
701,9.223372036854776e+18,"(7, 1)"
702,9.223372036854776e+18,"(7, 2)"
703,9.223372036854776e+18,"(7, 3)"
704,8.0,"(7, 4)"
705,14.0,"(7, 5)"
706,10.0,"(7, 6)"
707,2.0,"(7, 7)"
708,4.0,"(7, 8)"
709,4.0,"(7, 9)"
710,1.0,"(7, 10)"
711,9.223372036854776e+18,"(7, 11)"
712,14.0,"(7, 12)"
713,12.0,"(7, 13)"
714,8.0,"(7, 14)"
715,9.0,"(7, 15)"
716,4.0,"(7, 16)"
717,4.0,"(7, 17)"
718,8.0,"(7, 18)"
719,6.0,"(7, 19)"
720,6.0,"(7, 20)"
721,5.0,"(7, 21)"
722,6.0,"(7, 22)"
723,1.0,"(7, 23)"
724,1.0,"(7, 24)"
725,9.223372036854776e+18,"(7, 25)"
726,8.0,"(7, 26)"
727,2.0,"(7, 27)"
728,11.0,"(7, 28)"
729,4.0,"(7, 29)"
730,7.0,"(7, 30)"
731,8.0,"(7, 31)"
732,9.223372036854776e+18,"(7, 32)"
733,10.0,"(7, 33)"
734,10.0,"(7, 34)"
735,12.0,"(7, 35)"
736,10.0,"(7, 36)"
737,6.0,"(7, 37)"
738,6.0,"(7, 38)"
739,3.0,"(7, 39)"
740,8.0,"(7, 40)"
741,10.0,"(7, 41)"
742,11.0,"(7, 42)"
743,7.0,"(7, 43)"
744,11.0,"(7, 44)"
745,12.0,"(7, 45)"
746,0.0,"(7, 46)"
747,11.0,"(7, 47)"
748,4.0,"(7, 48)"
749,6.0,"(7, 49)"
750,10.0,"(7, 50)"
751,7.0,"(7, 51)"
752,8.0,"(7, 52)"
753,10.0,"(7, 53)"
754,7.0,"(7, 54)"
755,1.0,"(7, 55)"
756,4.0,"(7, 56)"
757,1.0,"(7, 57)"
758,6.0,"(7, 58)"
759,0.0,"(7, 59)"
760,7.0,"(7, 60)"
761,9.0,"(7, 61)"
762,7.0,"(7, 62)"
763,7.0,"(7, 63)"
764,3.0,"(7, 64)"
765,1.0,"(7, 65)"
766,4.0,"(7, 66)"
767,5.0,"(7, 67)"
768,2.0,"(7, 68)"
769,6.0,"(7, 69)"
770,10.0,"(7, 70)"
771,0.0,"(7, 71)"
772,4.0,"(7, 72)"
773,3.0,"(7, 73)"
774,4.0,"(7, 74)"
775,9.223372036854776e+18,"(7, 75)"
776,8.0,"(7, 76)"
777,0.0,"(7, 77)"
778,9.223372036854776e+18,"(7, 78)"
779,5.0,"(7, 79)"
780,8.0,"(7, 80)"
781,7.0,"(7, 81)"
782,0.0,"(7, 82)"
783,9.223372036854776e+18,"(7, 83)"
784,8.0,"(7, 84)"
785,12.0,"(7, 85)"
786,10.0,"(7, 86)"
787,7.0,"(7, 87)"
788,9.0,"(7, 88)"
789,10.0,"(7, 89)"
790,2.0,"(7, 90)"
791,11.0,"(7, 91)"
792,7.0,"(7, 92)"
793,0.0,"(7, 93)"
794,0.0,"(7, 94)"
795,7.0,"(7, 95)"
796,8.0,"(7, 96)"
797,6.0,"(7, 97)"
798,6.0,"(7, 98)"
799,8.0,"(7, 99)"
800,11.0,"(8, 0)"
801,8.0,"(8, 1)"
802,11.0,"(8, 2)"
803,9.223372036854776e+18,"(8, 3)"
804,9.223372036854776e+18,"(8, 4)"
805,7.0,"(8, 5)"
806,3.0,"(8, 6)"
807,0.0,"(8, 7)"
808,3.0,"(8, 8)"
809,4.0,"(8, 9)"
810,2.0,"(8, 10)"
811,2.0,"(8, 11)"
812,7.0,"(8, 12)"
813,9.223372036854776e+18,"(8, 13)"
814,9.0,"(8, 14)"
815,9.0,"(8, 15)"
816,1.0,"(8, 16)"
817,6.0,"(8, 17)"
818,4.0,"(8, 18)"
819,3.0,"(8, 19)"
820,2.0,"(8, 20)"
821,12.0,"(8, 21)"
822,0.0,"(8, 22)"
823,5.0,"(8, 23)"
824,7.0,"(8, 24)"
825,3.0,"(8, 25)"
826,1.0,"(8, 26)"
827,8.0,"(8, 27)"
828,2.0,"(8, 28)"
829,5.0,"(8, 29)"
830,6.0,"(8, 30)"
831,3.0,"(8, 31)"
832,5.0,"(8, 32)"
833,6.0,"(8, 33)"
834,1.0,"(8, 34)"
835,8.0,"(8, 35)"
836,5.0,"(8, 36)"
837,13.0,"(8, 37)"
838,10.0,"(8, 38)"
839,2.0,"(8, 39)"
840,4.0,"(8, 40)"
841,12.0,"(8, 41)"
842,0.0,"(8, 42)"
843,1.0,"(8, 43)"
844,9.223372036854776e+18,"(8, 44)"
845,9.223372036854776e+18,"(8, 45)"
846,7.0,"(8, 46)"
847,10.0,"(8, 47)"
848,6.0,"(8, 48)"
849,3.0,"(8, 49)"
850,3.0,"(8, 50)"
851,8.0,"(8, 51)"
852,12.0,"(8, 52)"
853,9.223372036854776e+18,"(8, 53)"
854,4.0,"(8, 54)"
855,2.0,"(8, 55)"
856,2.0,"(8, 56)"
857,1.0,"(8, 57)"
858,7.0,"(8, 58)"
859,9.0,"(8, 59)"
860,8.0,"(8, 60)"
861,10.0,"(8, 61)"
862,1.0,"(8, 62)"
863,6.0,"(8, 63)"
864,1.0,"(8, 64)"
865,4.0,"(8, 65)"
866,12.0,"(8, 66)"
867,12.0,"(8, 67)"
868,2.0,"(8, 68)"
869,3.0,"(8, 69)"
