index,forgetting_events,index_info
659,21.0,"(6, 59)"
660,9.223372036854776e+18,"(6, 60)"
661,19.0,"(6, 61)"
662,10.0,"(6, 62)"
663,6.0,"(6, 63)"
664,17.0,"(6, 64)"
665,24.0,"(6, 65)"
666,9.0,"(6, 66)"
667,10.0,"(6, 67)"
668,23.0,"(6, 68)"
669,13.0,"(6, 69)"
670,10.0,"(6, 70)"
671,13.0,"(6, 71)"
672,23.0,"(6, 72)"
673,2.0,"(6, 73)"
674,22.0,"(6, 74)"
675,4.0,"(6, 75)"
676,9.0,"(6, 76)"
677,13.0,"(6, 77)"
678,1.0,"(6, 78)"
679,25.0,"(6, 79)"
680,15.0,"(6, 80)"
681,20.0,"(6, 81)"
682,17.0,"(6, 82)"
683,24.0,"(6, 83)"
684,9.223372036854776e+18,"(6, 84)"
685,17.0,"(6, 85)"
686,2.0,"(6, 86)"
687,2.0,"(6, 87)"
688,10.0,"(6, 88)"
689,21.0,"(6, 89)"
690,9.0,"(6, 90)"
691,13.0,"(6, 91)"
692,22.0,"(6, 92)"
693,5.0,"(6, 93)"
694,19.0,"(6, 94)"
695,4.0,"(6, 95)"
696,15.0,"(6, 96)"
697,6.0,"(6, 97)"
698,19.0,"(6, 98)"
699,17.0,"(6, 99)"
700,2.0,"(7, 0)"
701,1.0,"(7, 1)"
702,9.223372036854776e+18,"(7, 2)"
703,9.223372036854776e+18,"(7, 3)"
704,17.0,"(7, 4)"
705,24.0,"(7, 5)"
706,12.0,"(7, 6)"
707,5.0,"(7, 7)"
708,12.0,"(7, 8)"
709,16.0,"(7, 9)"
710,6.0,"(7, 10)"
711,9.0,"(7, 11)"
712,22.0,"(7, 12)"
713,20.0,"(7, 13)"
714,18.0,"(7, 14)"
715,17.0,"(7, 15)"
716,14.0,"(7, 16)"
717,16.0,"(7, 17)"
718,22.0,"(7, 18)"
719,17.0,"(7, 19)"
720,13.0,"(7, 20)"
721,6.0,"(7, 21)"
722,19.0,"(7, 22)"
723,11.0,"(7, 23)"
724,8.0,"(7, 24)"
725,9.223372036854776e+18,"(7, 25)"
726,27.0,"(7, 26)"
727,5.0,"(7, 27)"
728,19.0,"(7, 28)"
729,12.0,"(7, 29)"
730,11.0,"(7, 30)"
731,16.0,"(7, 31)"
732,5.0,"(7, 32)"
733,26.0,"(7, 33)"
734,19.0,"(7, 34)"
735,27.0,"(7, 35)"
736,19.0,"(7, 36)"
737,18.0,"(7, 37)"
738,22.0,"(7, 38)"
739,2.0,"(7, 39)"
740,20.0,"(7, 40)"
741,24.0,"(7, 41)"
742,20.0,"(7, 42)"
743,22.0,"(7, 43)"
744,16.0,"(7, 44)"
745,21.0,"(7, 45)"
746,0.0,"(7, 46)"
747,26.0,"(7, 47)"
748,2.0,"(7, 48)"
749,10.0,"(7, 49)"
750,24.0,"(7, 50)"
751,17.0,"(7, 51)"
752,17.0,"(7, 52)"
753,15.0,"(7, 53)"
754,9.0,"(7, 54)"
755,2.0,"(7, 55)"
756,4.0,"(7, 56)"
757,1.0,"(7, 57)"
758,27.0,"(7, 58)"
759,1.0,"(7, 59)"
760,25.0,"(7, 60)"
761,20.0,"(7, 61)"
762,17.0,"(7, 62)"
763,14.0,"(7, 63)"
764,5.0,"(7, 64)"
765,4.0,"(7, 65)"
766,3.0,"(7, 66)"
767,20.0,"(7, 67)"
768,14.0,"(7, 68)"
769,21.0,"(7, 69)"
770,18.0,"(7, 70)"
771,1.0,"(7, 71)"
772,5.0,"(7, 72)"
773,6.0,"(7, 73)"
774,10.0,"(7, 74)"
775,9.223372036854776e+18,"(7, 75)"
776,23.0,"(7, 76)"
777,0.0,"(7, 77)"
778,9.223372036854776e+18,"(7, 78)"
779,20.0,"(7, 79)"
780,14.0,"(7, 80)"
781,16.0,"(7, 81)"
782,7.0,"(7, 82)"
783,6.0,"(7, 83)"
784,20.0,"(7, 84)"
785,23.0,"(7, 85)"
786,21.0,"(7, 86)"
787,9.0,"(7, 87)"
788,18.0,"(7, 88)"
789,17.0,"(7, 89)"
790,7.0,"(7, 90)"
791,17.0,"(7, 91)"
792,18.0,"(7, 92)"
793,1.0,"(7, 93)"
794,0.0,"(7, 94)"
795,15.0,"(7, 95)"
796,15.0,"(7, 96)"
797,14.0,"(7, 97)"
798,5.0,"(7, 98)"
799,14.0,"(7, 99)"
800,16.0,"(8, 0)"
801,11.0,"(8, 1)"
802,18.0,"(8, 2)"
803,8.0,"(8, 3)"
804,9.223372036854776e+18,"(8, 4)"
805,13.0,"(8, 5)"
806,10.0,"(8, 6)"
807,0.0,"(8, 7)"
808,13.0,"(8, 8)"
809,9.0,"(8, 9)"
810,7.0,"(8, 10)"
811,0.0,"(8, 11)"
812,17.0,"(8, 12)"
813,9.223372036854776e+18,"(8, 13)"
814,19.0,"(8, 14)"
815,19.0,"(8, 15)"
816,6.0,"(8, 16)"
817,14.0,"(8, 17)"
818,8.0,"(8, 18)"
819,6.0,"(8, 19)"
820,8.0,"(8, 20)"
821,24.0,"(8, 21)"
822,2.0,"(8, 22)"
823,6.0,"(8, 23)"
824,18.0,"(8, 24)"
825,6.0,"(8, 25)"
826,7.0,"(8, 26)"
827,14.0,"(8, 27)"
828,6.0,"(8, 28)"
829,18.0,"(8, 29)"
830,20.0,"(8, 30)"
831,9.0,"(8, 31)"
832,18.0,"(8, 32)"
833,10.0,"(8, 33)"
834,4.0,"(8, 34)"
835,17.0,"(8, 35)"
836,4.0,"(8, 36)"
837,18.0,"(8, 37)"
838,15.0,"(8, 38)"
839,5.0,"(8, 39)"
840,6.0,"(8, 40)"
841,23.0,"(8, 41)"
842,3.0,"(8, 42)"
843,1.0,"(8, 43)"
844,2.0,"(8, 44)"
845,9.0,"(8, 45)"
846,20.0,"(8, 46)"
847,16.0,"(8, 47)"
848,12.0,"(8, 48)"
849,8.0,"(8, 49)"
850,10.0,"(8, 50)"
851,17.0,"(8, 51)"
852,22.0,"(8, 52)"
853,4.0,"(8, 53)"
854,2.0,"(8, 54)"
855,3.0,"(8, 55)"
856,2.0,"(8, 56)"
857,6.0,"(8, 57)"
858,16.0,"(8, 58)"
859,20.0,"(8, 59)"
860,21.0,"(8, 60)"
861,20.0,"(8, 61)"
862,1.0,"(8, 62)"
863,23.0,"(8, 63)"
864,1.0,"(8, 64)"
865,9.0,"(8, 65)"
866,21.0,"(8, 66)"
867,16.0,"(8, 67)"
868,7.0,"(8, 68)"
869,8.0,"(8, 69)"
870,4.0,"(8, 70)"
871,9.0,"(8, 71)"
872,11.0,"(8, 72)"
873,13.0,"(8, 73)"
874,15.0,"(8, 74)"
875,22.0,"(8, 75)"
876,5.0,"(8, 76)"
877,24.0,"(8, 77)"
878,20.0,"(8, 78)"
879,18.0,"(8, 79)"
880,6.0,"(8, 80)"
881,15.0,"(8, 81)"
882,14.0,"(8, 82)"
883,8.0,"(8, 83)"
884,17.0,"(8, 84)"
885,1.0,"(8, 85)"
886,16.0,"(8, 86)"
887,18.0,"(8, 87)"
888,9.0,"(8, 88)"
889,4.0,"(8, 89)"
890,20.0,"(8, 90)"
891,16.0,"(8, 91)"
892,22.0,"(8, 92)"
893,15.0,"(8, 93)"
894,21.0,"(8, 94)"
895,16.0,"(8, 95)"
896,19.0,"(8, 96)"
897,21.0,"(8, 97)"
898,13.0,"(8, 98)"
899,5.0,"(8, 99)"
900,23.0,"(9, 0)"
901,8.0,"(9, 1)"
902,17.0,"(9, 2)"
903,19.0,"(9, 3)"
904,8.0,"(9, 4)"
905,22.0,"(9, 5)"
906,12.0,"(9, 6)"
907,20.0,"(9, 7)"
908,10.0,"(9, 8)"
909,1.0,"(9, 9)"
910,8.0,"(9, 10)"
911,16.0,"(9, 11)"
912,16.0,"(9, 12)"
913,7.0,"(9, 13)"
914,2.0,"(9, 14)"
915,21.0,"(9, 15)"
916,8.0,"(9, 16)"
917,22.0,"(9, 17)"
918,4.0,"(9, 18)"
